Match ID,Match Date,Match Time,City,Stadium,Team A,Team B,Toss Winner,Toss Decision,Score A,Wickets A,Overs Played A,Maiden Overs A,4s A,6s A,Boundaries A,Runrate A,Leg Byes A,Byes A,Wides A,No Balls A,Penalty A,Extras A,Score B,Wickets B,Overs Played B,Maiden Overs B,4s B,6s B,Boundaries B,Runrate B,Leg Byes B,Byes B,Wides B,No Balls B,Penalty B,Extras B,Wining Team,Margin,Man of the Match,Umpire 1,Umpire 2,TV Umpire,Match Refree
1,05-10-2023,2:00 PM,Ahmedabad,Narendra Modi Stadium,England,NewZealand,NewZealand,Field,282,9,50,2,21,6,27,5.64,1,4,3,0,0,8,283,1,36.2,2,30,8,38,7.78,0,0,6,0,0,6,NewZealand,9 Wickets,Rachin Ravindra,Kumar Dharmasena,Nitin Menon,Paul Wilson,Javagal Srinath
2,06-10-2023,2:00 PM,Hyderabad,Eden Gardens,Pakistan,Netherlands,Netherlands,Field,286,10,49,1,33,3,36,5.83,0,0,9,0,0,9,205,10,41,1,20,4,24,5,0,0,8,1,0,9,Pakistan,81 Runs,Saud Shakeel,Adrian Holdstock,Chris Brown,Rod Tucker,Jeff Crowe
3,07-10-2023,2:00 PM,Dharamshala,HPCA Stadium,Afghanistan,Bangladesh,Bangladesh,Field,156,10,37.2,1,15,2,17,4.17,3,0,4,1,0,8,158,4,34.4,5,13,1,14,4.55,0,0,8,0,0,8,Bangladesh,6 Wickets,Mehidy Hasan Miraz,Joel Wilson,Kumar Dharmasena,Ahsan Raza,Andy Pycroft
4,07-10-2023,2:00 PM,Delhi,Arun Jaitley Stadium,South Africa,Sri Lanka,Sri Lanka,Field,428,5,50,1,45,14,59,8.56,5,0,14,1,0,20,326,10,44.5,1,31,17,48,7.27,1,0,21,1,0,23,South Africa,102 Runs,Aiden Markram,Richard Illingworth,Sharfuddoula,Michael Gough,Javagal Srinath
5,08-10-2023,2:00 PM,Chennai,M. A. Chidambaram Stadium,Australia,India,Australia,Bat,199,10,49.3,1,16,2,18,4.02,1,1,5,1,0,8,201,4,41.2,4,14,3,17,4.86,6,0,6,0,0,12,India,6 wickets,KL Rahul,Chris Gaffaney,Richard Kettleborough,Chris Brown,Richie Richardson
6,09-10-2023,2:00 PM,Hyderabad,Rajiv Gandhi International Stadium,NewZealand,Netherlands,Netherlands,Field,322,7,50,0,30,10,40,6.44,1,0,2,1,0,4,223,10,46.3,3,19,3,22,4.79,3,0,8,2,0,13,NewZealand,99 Runs,Mitchell Santner,Paul Reiffel,Rod Tucker,Joel Wilson,Andy Pycroft
7,10-10-2023,10:30 AM,Dharamshala,HPCA Stadium,England,Bangladesh,Bangladesh,Field,364,9,50,1,41,7,48,7.28,4,0,3,0,0,7,227,10,48.2,0,17,3,20,4.69,2,1,4,0,0,7,England,137 Runs,Dawid Malan,Ahsan Raza,Paul Wilson,Adrian Holdstock,Javagal Srinath
8,10-10-2023,2:00 PM,Hyderabad,Rajiv Gandhi International Stadium,Sri Lanka,Pakistan,Sri Lanka,Bat,344,9,50,0,36,9,45,6.88,0,0,25,1,0,26,345,4,48.2,0,26,6,32,7.13,2,2,9,1,0,14,Pakistan,6 Wickets,Mohammad Rizwan,Chris Gaffaney,Alex Wharf,Nitin Menon,Andy Pycroft
9,11-10-2023,2:00 PM,Delhi,Arun Jaitley Stadium,Afghanistan,India,Afghanistan,Bat,272,8,50,0,25,7,32,5.44,4,1,10,0,0,15,273,2,35,0,28,8,36,7.8,3,2,8,2,0,15,India,8 Wickets,Rohit Sharma,Michael Gough,Paul Reiffel,Marais Erasmus,Jeff Crowe
10,12-10-2023,2:00 PM,Lucknow,BRSABV Ekana Cricket Stadium,South Africa,Australia,Australia,Field,311,7,50,3,26,8,34,6.22,4,0,11,2,0,17,177,10,40.5,2,19,0,19,4.33,2,4,7,0,0,13,South Africa,134 Runs,Quinton de Kock,Joel Wilson,Richard Illingworth,Richard Kettleborough,Javagal Srinath
